"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"11",67.856,0,8616862,11.572171,13.0270691,19.9,5.173,315.14001,"3",26.55491,16628.0553,5.19,312.41,61.11,"0","0",64.29,33879,2.9,1191.289459,64.5,25.819,10.3616,4.9796,3.8677,936.67621,5.29e+09,38.24,73.005,10223344,127.762969,3401.322534
"12",335.666,18.032007318,355891,11.2055637,13.6572693,31.6,5.97445,471.1006973,"4",40.9281488,20717.364151,6.525,486.6823,57.41,"1","1",71.43,30459,100,1699.052483,68.815,27.3656,11.1533,4.6177,2.7234,471.66946,2582600000,13.61,73.918,396914,53.35051546,1454.381443
"13",185.709,5.4613787674,1360880,12.006818,10.6416642,29.8,6.173,759.1129897,"4",36.15924,39498.7672,10.918,749.9149,53.7,"2","1",66.43,25533,100,2453.155914,79,25.5534,11.8996,4.7329,2.8016,615.72601,5500300000,7.52,77.292,1748295,64.85112564,1909.949165
"14",35.449,77.60098,97687737,10.2542749,9.2910122,3.6,5.28,117.31,"2",32.38527,4099.253,2.4634,109.03,35.19,"0","0",39.76,38814,1.4,88.03535581,51.7,38.7285,9.4215,4.6905,2.48,63.223766,2.2242e+11,34.26,72.591,166303494,108.8039407,3162.141158
"15",24.359,19.747414898,273417,10.5051944,13.7144681,23.1,5.83339,466.1164977,"4",39.9194581,11995.1868,6.6261,466.1469,50,"1","1",57.5,26768,100,1233.55044,66.8,26.917,12.0746,4.9151,3.381,557.15704,1e+07,13.59,79.19,287708,125.7042254,2467.253521
"16",102.124,1.027703,8948708,8.0120648,7.5475883,24.5,5.821,571.14001,"3",25.27785,18727.3176,7.59,646.27,43.52,"0","0",46.9,33783,100,1084.619757,74.4,25.7313,10.6848,5.0095,5.1756,374.66376,1.24e+09,7.34,74.791,9442867,147.0408593,3235.225358
"17",942.309,0.292606,11217825,5.6681222,3.4641042,22.1,6.839,1490.91,"4",27.21441,39756.2031,26.85,1457.53,47.22,"2","1",61.9,19878,99,4782.361046,87.9,15.27,18.47,5.84,5.64,840.12659,28841100000,4.12,81.628,11632334,126.1262059,2126.612975
"18",128.263,38.11414,325156,9.9988558,15.1836179,24.1,5.956,268.57999,"3",53.26277,16786.33386,4.9983,264.03,66.67,"1","2",71.55,31420,25,523.7288925,58.3,29.8737,11.034,4.5397,2.475,118.64302,3.19e+09,19.67,74.623,404915,35.93314763,1092.479109
"19",3.382,89.63388,2083463,7.3902467,6.9945431,9.6,4.408,82.610001,"1",47.75591,2220.1766,1.44,82.42,38.89,"1","1",45.6,65706,9,84.46045434,43,36.4387,11.3238,4.9906,1.9125,34.203602,4.702e+10,89.8,61.771,12451031,92.92280266,4222.178697
"20",742.909,25.54418,5394527,6.950181,8.9480019,20.2,5.559,406.41,"2",41.64937,6695.7746,7.63,416.29,56.48,"1","2",62.26,44087,42.7,445.8226242,59.2,31.9216,10.1027,4.6637,2.3139,115.56576,2.114e+10,32.44,71.513,11832936,35.72960373,1093.519814
"21",336.502,3.633199,3352091,7.9595233,6.909738,17.9,5.516,585.77002,"3",33.03019,10460.5201,9.79,605.42,35.19,"1","0",40,24000,59.2,1101.792914,78.2,25.1115,10.4448,5.2493,5.0796,315.49902,5.03e+09,7.04,77.401,3263459,140.3937008,2760.839895
"22",8.93,60.1921,1400631,7.5742542,9.4738462,18.9,3.471,232.69,"3",53.32503,15842.1301,1.97,290.39,53.7,"0","2",57.62,61513,48.813,969.9563729,51.1,28.6326,10.1097,4.709,2.1693,51.02795,3.52e+09,25.14,69.592,2397240,29.00088417,925.9062776
"23",743.068,12.98858,170536625,7.7976249,8.682263,22.1,6.11,602.28998,"3",53.42883,14033.5656,3.05,563.57,60.65,"1","0",56.61,31632,100,1391.52257,64.9,31.8576,9.08230000000001,4.3998,2.3,393.65927,2.44e+09,20.19,75.881,213993441,49.22683198,1280.895476
"24",6.857,14.6150179495,1449726.46,9.2080746,9.676519,14.1,6.0342,593.1351924,"4",36.112606,39603.59361,8.7825,637.3007,79.63,"0","0",82.14,22941,100,2083.430502,70,29.4874,12.7584,4.9348,3.0453,125.25507,5417800000,9.97,75.86,441532,21.74940898,621.749409
"25",167.088,9.337595,6173072,8.4220956,6.8991835,25,5.598,569.5,"3",41.2841,18444.2602,7.95,478.49,62.96,"2","1",57.14,28771,87,1491.868089,71.4,27.413,9.8266,5.1837,4.89,711.14771,7079800000,8.56,75.046,6896655,210.8671329,4198.181818
"26",3.205,89.96324,3567793,7.3630174,5.4645982,5.6,4.741,83.839996,"1",35.30123,1589.6242,1.64,83.83,13.89,"0","2",28.69,70891,1,96.10067087,42.9,37.1777,11.3108,4.8442,2.8698,34.698746,1.0803e+11,115.59,61.577,21497097,83.45300361,3793.135082
"27",0.084,97.167,4895650,4.2383366,4.0934194,5.4,3.775,54.34,"1",38.62482,651.3589,1.54,47.74,15.74,"1","1",14.29,80027,28.4,63.73553919,40.4,37.3784,11.1858,4.8612,2.2185,12.152169,4.981e+10,86.61,61.584,12255429,49.78083462,2514.348107
"28",16.048,66.43285,10458211,6.5496373,6.8660443,11.4,5.241,161.66,"2",46.64087,2888.0459,2.35,160.24,30.56,"0","0",39.29,77369,2,162.8401984,44.4,36.1139,10.8654,4.6828,2.119,113.57147,9.525e+10,78.71,59.292,27224262,87.75274912,3976.91518
"29",264.982,0.4973831,35776913,6.2295715,4.7614839,29.4,7.025,1745.0699,"4",33.30821,44868.7435,23.48,1700.77,60.65,"1","1",62.5,18838,100,4600.088285,87.6,19.67,11.6,2.93,2.5,670.91956,17400200000,5.81,82.434,38067913,55.89592523,1019.852305
"30",169.068,32.42308,384763,9.0616702,8.0251263,11.8,5.50377,243.34,"2",42.38109,6831.216,3.7874,243.33,59.26,"1","2",57.26,31195,42.686,310.4060324,61.7,30.3708,11.5523,5.0438,3.1659,71.923409,6873800000,23.31,72.981,561901,96.92898273,2357.581574
"31",12.837,93.04771,991050,7.9801102,7.6084099,7.5,3.476,73.720001,"1",56.23661,623.4889,1.72,73.72,24.07,"0","0",28.45,97115,6,31.85577603,28.6,34.967,11.1241,4.8551,2.7085,12.615376,2.319e+10,131.1,53.283,4919987,133.3061224,5851.306122
"32",5.844,83.21726,1695139,7.893766,6.1519716,6.1,4.251,98.139999,"1",43.32121,2046.3631,2.24,98.14,25,"0","1",32.98,94563,7.226,99.77119413,37.7,35.9563,10.5527,4.7975,2.4591,56.241741,2.234e+10,122.75,54.239,16914985,135.8766118,7924.570777
"33",733.723,1.807866,17602817,10.1604348,10.825427,28,6.151,727.16998,"4",44.44094,22104.7654,7.17,720.4,59.72,"1","0",69.7,21333,93.1,1903.118645,76,19.48,2.99,2.62,2.11,613.57904,3.4e+08,7.88,80.181,19212362,47.70448227,982.8727982
"34",3.293,17.94347,1048983300,9.8981826,7.6439389,6.2,5.771,332.12,"3",35.964141,13101.7064,1.78,287.7,79.17,"1","2",75.89,24811,96.9,762.2437789,74.2,38.5935,9.9545,4.8388,4.34,246.86253,7.943e+10,13.16,76.912,1444216102,202.2828099,4470.598062
"35",600.693,22.39919,39113473,8.3281758,8.7073733,22.3,5.709,431.25,"3",51.33497,13545.0495,5.42,450.73,41.67,"1","2",53.57,27188,87.7,852.8121654,67.8,28.8366,9.41700000000001,4.3898,1.71,156.01645,4.45e+09,15.61,77.287,51265841,15.55703065,399.1229509
"36",8.05,60.2145,278318,7.863303,8.0245183,7.8,4.609,180.10001,"1",45.33459,1724.4206,3.89,246.86,50.2537,"0","0",55.2166,59673,28.414,121.0422012,47.7,33.8448,12.1425,4.8956,2.4889,90.556938,2.28e+09,50.19,64.321,888456,33.75634518,1626.142132
"37",16.672,90.04419,749347,7.7231127,7.6175358,9.6,5.213,117.42,"2",48.93867,5714.5917,2.75,117.41,51.85,"0","0",54.17,70611,15.046,202.6585841,43.5,33.32,11.1306,4.8735,1.9046,88.853043,9.32e+09,59.9,64.57,5657017,44.1991342,1653.073593
"38",260.889,10.59034,4543420,8.8486617,8.9133927,25.7,6.998,731.75,"3",48.18792,14686.2539,7.04,676.06,54.63,"0","1",61.67,23017,100,1286.462817,72.9,26.6534,9.5284,4.6429,1.13,276.40625,3.3e+08,8.8,80.279,5139053,31.23960067,724.0224626
"39",4.625,68.84484,5199406,7.3379487,6.312889,10.3,5.257,116.93,"2",41.4748,3713.6436,2.41,119.31,20.37,"1","2",35.71,88856,1.2,189.6011903,42.4,36.5606,11.1291,4.774,2.6021,68.291847,5.166e+10,94.67,57.783,27053629,111.4307011,5049.576685
"40",114.487,5.311003,4077496,8.3590648,6.3176757,24.4,6.508,569.42999,"3",29.72947,22012.3147,9.62,524.49,33.8,"1","1",45.89,24063,97,1656.426156,81.6,26.6265,10.7708,5.2571,5.8619,251.05083,8e+07,4.59,78.488,4081657,175.3773585,3205.613208
"41",11.301,7.7309878637,10682055,7.2850055,9.5670743,24.6,5.418,667.1264959,"3",38.5593276,8325.6313,7.7409,629.803,65.28,"0","2",71.13,25180,100,1475.637922009,73.5,26.8561,9.73030000000001,4.6955,2.6261,432.46736996,2.01e+09,5.71,78.802,11317498,75.84723442,1583.371378
"42",28.542,0.05130247,1160985,8.2802862,5.6710975,21.8,6.26,1319.55,"4",32.73986,27184.4166,17.5571,835.13,40.74,"2","2",57.74,15789,65,2136.797759,85.3,20.6992,13.6198,5.3094,3.9729,937.77203,12178500000,3.2,80.982,1215588,100,1832.532189
"43",3.394,95.51018,21868430,6.2299002,6.064558,6.7,4.311,46.470001,"1",42.09971,859.3817,1.4,45.83,37.96,"0","1",33.57,92831,10,33.97361777,40.4,39.8869,10.186,4.5121,2.0949,12.715207,5.183e+11,87.31,60.681,92377986,60.24046254,3014.548138
"44",122.406,0.1710614,5660749,5.3713457,3.2946986,19.7,7.515,1588.9,"4",28.16634,46312.3443,26.44,1492.02,38.89,"2","0",56.55,20451,100,5083.20928,85.7,29.6969,18.23,6.22,2.5,697.55823,29279600000,4.05,80.898,5813302,109.2608926,1968.724643
"45",61.741,66.70957,439594,8.6408121,7.5921335,13.5,4.369,154.5,"2",41.58799,3295.6815,3.1883,147.67,54.63,"1","0",48.93,64677,30,146.6987696,44.7,29.7005,11.3828,4.9527,2.1773,29.903355,6.23e+09,48.82,67.112,1002197,97.97297297,3577.59009
"46",205.201,18.58065,8843851,8.6348075,11.4407357,27.6,5.168,471.82001,"3",41.91857,15912.3995,6.66,377.03,63.89,"1","0",73.21,29597,26.5,873.1177009,62.5,28.529,8.5629,4.197,1.9206,381.37183,3.73e+09,33.13,74.081,10953714,45.26025836,1212.091565
"47",713.482,17.05914,13674280,7.4656134,8.4553857,19.9,5.354,421.89999,"3",45.71153,10638.8251,4.68,361.21,60.19,"1","2",67.38,29357,22.8,980.2299724,61.2,28.3963,9.1096,4.3271,1.8557,428.47943,2.73e+09,19.01,77.01,17888474,18.71902758,482.600317
"48",60.801,75.18362,88807929,15.9915285,19.8157674,32,4.472,183.12,"2",31.53395,11957.2122,4.4041,267.317,43.52,"1","2",44.17,35784,51.1,495.1650809,61,29.0103,8.23930000000001,4.3618,2.1991,306.79916,1.337e+10,20.39,71.99,104258327,130.7361091,3677.334182
"49",148.315,41.0972,4734359,9.3025743,10.6596175,24.6,5.462,311.87,"2",38.77876,8598.1982,5.42,302.99,32.41,"1","0",43.21,36007,21.6,578.4609406,64.4,31.2636,9.1855,4.4969,2.9762,161.16724,3.15e+09,13.49,73.317,6518500,50.26929982,1314.068875
"50",59.16,51.76728967,875665,9.4867882,9.1859882,8,4.71482,235.78949889,"3",44.6472811,28528.953,3.6806,225.586,49.9346,"0","0",54.5198,82201,33.962,789.5788502,48.4,32.5624,11.1728,4.866,2.139,568.37732,8.8e+08,59.16,58.735,1449891,82.72189349,3607.455621
"51",55.03,0.7833411,1278576,7.7077688,6.5439834,21.2,6.453,885.83002,"4",30.32145,27408.6649,11.07,701.86,23.15,"0","0",34.52,26242,92.9,1886.814387,81.4,22.77,10.45,5.15,4.69,429.6655,5.419e+09,3.18,78.745,1325188,108.1492765,2119.421173
"52",12.569,87.36121,27964449,5.7992061,5.0238509,4.5,4.549,110.12,"1",34.99312,1838.4903,1.8,87.56,43.52,"0","0",52.14,54964,23.017,65.60194586,44.2,39.3754,10.6088,4.6661,2.0195,24.804361,3.9209e+11,60.58,66.597,117876226,68.58669779,2853.959815
"53",2.231,28.74499,812748,15.946039,18.8754833,30.2,5.26721,227.06,"3",36.6966,15387.625528,4.49,238.97,86.11,"1","2",80.36,39681,100,331.3576231,46.6,28.2063,10.2395,4.595,2.3907,70.953873,1.428e+10,27.9,67.444,902899,35.98654709,1177.017937
"54",63.891,0.09872849,5348022,6.4035424,4.3160987,22.2,7.889,1501.48,"4",27.32977,38896.7005,26.06,1501.11,38.43,"2","1",50.3,19843,100,3996.436879,89.6,44.84,19.69,3.84,3.28,794.92712,46807800000,2.4,81.908,5548361,72.83300018,1256.351081
"55",544.493,0.0396873,65757955,7.4588522,4.425538,21.6,6.714,1621.01,"4",32.38069,38515.9193,24.69,1597.81,60.65,"2","0",68.45,19104,99.9,4542.307106,87.9,45.55,14.3599,4.9123,5.98,308.73276,40928500000,4.25,82.659,65426177,104.5112085,1771.213411
"56",24.262,32.0472,808743,10.0069996,9.9846067,15,4.914,295.5,"3",38.02437,17613.5564,3.63,210.08,67.59,"0","1",63.57,58498,57.6,480.8514802,51.4,30.2281,10.1546,4.7162,2.1404,124.56293,3.29e+09,40.51,66.467,2278829,67.13043478,2018.608696
"57",49.241,73.06253,1164801,9.4400826,7.9299876,10.3,5.164,149.91,"1",35.91883,1882.2399,2.45,97.16,24.07,"0","1",42.26,62697,99.9,114.0747188,49.7,31.633,11.443,4.9665,2.6783,23.163185,2.127e+10,51.2,62.05,2486937,97.38824711,4120.793571
"58",63.422,25.97476733,3207857,13.278765,12.0605641,21.7,5.123,237.52,"2",35.94862,11984.9049,1.89,200.07,64.81,"1","0",66.55,29323,25,717.7162423,62.1,27.6636,9.7022,5.015,4.386,411.42606,3.98e+09,12.34,73.767,3979773,161.5,3160.375
"59",121.539,0.2406784,81033118,6.0163501,3.9049721,22.3,7.312,1637.79,"4",31.87067,46177.6187,26.39,1605.69,59.26,"2","0",67.86,19224,100,5356.811177,86.4,37.31,14.8978,6.1,8,671.1239,29602300000,3.88,81.326,83900471,153.605818,2621.396936
"60",10.17,60.90227,4109840,6.4065812,6.6002139,10.9,5.319,199.55,"2",43.52088,4267.0667,2.23,131.42,42.59,"0","0",43.57,58375,73.9,249.328504,49.7,35.6523,11.0318,4.8173,1.8922,90.020622,1.4816e+11,62.76,64.074,31732128,90.06203102,3385.14083
"61",56.893,2.895735,10712674,7.2485658,6.015919,24.9,5.788,662.25,"4",32.89121,23450.7658,12.85,680.16,48.61,"2","2",58.99,19627,100,2204.354384,87,25.76,10.0467,6.07,4.21,781.69025,8085800000,4.92,82.239,10370747,149.9863076,2426.21634
"62",204.571,47.14494711,10385302,8.933383,10.3592865,21.2,6.262,259.89999,"2",48.27859,7402.1146,5.51,257.19,52.78,"0","2",57.5,37079,30,443.9018463,55.7,35.2192,9.7214,4.3805,1.8431,247.54504,4.64e+10,26.83,74.302,18249868,33.19464194,1084.084996
"63",5.406,90.28445,2430398,6.7504811,6.0544232,7.7,4.768,87.300003,"1",33.7297,1606.4666,2.53,87.3,62.04,"0","0",67.62,72518,0.2,57.19135929,38.6,35.9953,11.0603,4.7964,1.9606,31.166372,1.3984e+11,103.06,61.602,13497237,96.64524573,4556.911368
"64",20.833,92.62132,368269,7.3624409,6.8439213,9.5,4.21174,69.18,"1",50.66424,1501.4136,2.01,69.18,33.3882,"0","0",43.5911,83441,1.6,100.2957262,36.3,31.3612,11.0475,4.9913,2.7151,37.274281,1.847e+10,80.62,58.322,2015490,115.9978308,4966.64859
"65",151.292,39.30348,643246,9.0633936,12.596474,20.2,5.993,202.89,"3",45.11814,11138.181416,4.4651,202.89,60.19,"1","1",68.81,55470,23.8,336.1484296,49.8,30.6798,10.0942,4.8469,3.8923,136.16254,1.79e+09,28.64,69.906,790329,57.49674055,1838.461538
"66",20.346,82.16744,2956253,8.5517711,8.7666628,22.7,3.615,104.7,"1",41.10377,1729.0432,2.15,104.7,53.7,"1","1",63.21,61717,3.1,120.1457421,38.5,34.5763,10.4828,4.6689,2.0006,43.579815,5.685e+10,63.54,64.001,11541683,59.09812342,2292.437681
"67",266.442,48.85315,7401645,8.4891994,9.972857,21.4,5.93,239.57001,"2",48.16817,5041.6354,6.43,236.33,76.85,"1","2",72.38,33106,12,353.3645701,53.9,33.0176,9.9158,4.3729,2.2481,173.59322,3.594e+10,15.92,75.27,10062994,26.15479876,727.2198142
"68",163.348,3.021302,9646167,8.9001676,6.6882506,26.4,6.038,650.71997,"4",29.61204,25622.8123,9.59,568.43,27.78,"0","1",44.05,28707,100,1912.069053,79.6,16.86,11.8,5.68,7.02,555.2157,19295700000,5.23,76.875,9634162,188.4018265,3809.518011
"69",32.234,0.01792546,326845,7.6316878,4.1564257,21.9,7.575,1527.02,"4",26.13158,43438.5412,22.7,1413.36,41.67,"2","2",51.79,17257,100,4116.171894,93.6,22.96,29.55,7.74,2.91,700.42822,26708100000,2.46,82.993,343360,43.16109422,707.2948328
"70",86.963,71.48567,518385376,9.053893,8.3259159,3.9,4.225,111.83,"2",37.6625854,6806.4986,1.91,111.83,70.83,"0","1",72.68,47950,12.5,237.7234161,44.8,39.9765,9.6891,4.663,0.53,154.66501,3.9127e+11,40.83,69.656,1393409033,141.3716697,4197.1737
"71",49.4,71.30388,156962565,7.4193282,7.9842802,6.9,5.347,190.66,"2",39.8333926,11851.7372,1.85,163.97,68.98,"1","1",72.44,36015,59,369.2864404,49.2,40.6044,10.0212,4.5855,1.04,189.93916,9.857e+10,29.15,71.716,276361788,67.7047358,2047.758529
"72",396.45,10.49139,71424438,11.3852069,12.860293,25.8,4.865,493.39001,"3",42.0033,17011.3042,4.5679,504.64,74.54,"1","1",67.08,30911,90,1261.730503,71.1,27.0386,8.5987,4.0284,2.1595,500.40799,3.48e+09,15.91,76.677,85028760,85.17994375,1982.833862
"73",266.617,50.81578,30914996,17.2299941,17.4914421,30.4,4.785,178.81,"3",29.54186,12835.8126,3.8755,260.2091,75.93,"1","1",69.35,38798,64.228,481.0398448,60.1,29.5654,9.2946,4.3325,2.4183,367.85107,1.166e+10,25.65,70.604,41179351,79.51844052,2528.138952
"74",382.762,0.3353735,4232536,7.3088405,5.1438133,25.3,7.035,1408.09,"4",31.3598,64684.302,20.33,1248.55,48.15,"2","2",62.5,19319,100,5334.947576,88.4,17.89,14.76,4.82,2.96,809.01556,17138600000,3.73,82.305,4982904,65.0383959,1171.906997
"75",286.868,0.9977683,8380100,7.0922374,5.7613617,26.1,7.195,1097.22,"4",39.01302,32954.7701,13.76,936.83,52.78,"2","1",61.31,17719,100,2819.111414,85.5,9.58,7.41,4.37,2.99,686.99359,8819600000,3.85,82.972,8789776,94.69246032,1675.868056
"76",623.534,2.472911,60426929,7.0540891,4.6222522,19.9,6.488,1227.58,"4",35.928,34364.1682,20.72,1208.21,75.46,"1","2",81.55,16957,100,3350.575515,88.7,17.56,7.44,6.55,3.18,765.02649,10837500000,3.5,83.512,60367471,136.2470453,2077.96101
"77",66.19,52.39908,2349242,9.2817333,14.4098648,24.7,6.309,366.34,"3",45.45747,7272.9805,4.07,368.03,66.67,"0","0",75.36,32646,20.1,511.3773951,63.7,31.218,9.5235,4.678,4.4634,121.21803,1.8e+08,15.6,74.475,2973462,56.56999642,1208.77193
"78",13.678,1.616443,127141000,8.3588827,5.0036277,4.3,6.118,1212.01,"4",32.85473,38673.8081,22.3226,1211.9,50.46,"2","2",50.65,15700,100,4405.131829,89,66.39,14.8802,5.3578,13.05,576.96307,40551500000,2.76,84.629,126050796,160.2324287,2422.696688
"79",65.47,19.90089,9031072,16.510798,17.1804625,35.5,4.094,331.66,"2",33.65573,11506.3383,4.7599,340.9726,51.85,"1","0",53.33,30626,75,568.122532,76.5,24.2935,9.1978,4.1753,2.8905,142.87909,3.763e+10,14.91,74.526,10269022,61.38248848,1706.34628
"80",118.285,1.16534,17105523,12.3560972,11.3681004,21,6.168,340.60999,"3",27.79287,25307.5554,4.9,364.64,57.41,"0","0",51.79,42084,70,903.3240914,61.1,26.2958,9.336,4.7283,4.4402,350.55191,4.23e+09,15.82,73.597,18994958,87.44397163,2241.095035
"81",17.37,78.95827,14218114,5.8172238,6.1624503,7.1,4.547,100.36,"2",40.77577,3377.4704,2.39,124.39,62.96,"1","0",64.76,62578,39.4,157.1920959,48.7,36.2853,10.7296,4.4872,1.902,52.449409,1.9222e+11,48.15,66.699,54985702,32.25190081,1375.87408
"82",177.026,6.4143009328,3935794,19.6593654,19.6190961,37.9,6.106,823.3829918,"4",34.3483453,65520.7367,13.5744,852.155,49.07,"1","1",58.33,22687,100,2977.514144,82,25.0573,11.0836,4.3757,2.9457,428.12521,17303800000,8.36,75.489,4328553,63.33504625,1891.341213
"83",174.428,57.584,5557788,9.9323155,10.8247126,16.6,6.25,161.92,"2",29.70122,5176.9883,3.88,160.46,57.41,"1","2",58.33,39969,83,286.577877,60.4,27.5112,9.8441,5.0294,3.4224,138.24355,2.132e+10,22.07,71.45,6628347,71.66666667,1998.164983
"84",33.4,2.62944,1736269,7.8315259,6.5982073,23.6,6.229,706.84998,"4",35.09615,24312.6778,8.26,545.57,41.67,"0","0",45.83,29932,70,1429.309665,77.7,32.44,9.8,6.18,5.57,594.9317,9791600000,5.54,75.292,1866934,155.3018772,3059.512938
"85",86.441,7.3632667224,4722144,14.4658527,12.2357376,32,4.024,705.17999,"3",31.83245,12558.9669,9.5426,636.2641,65.74,"0","1",68.81,20828,48.3,1117.255973,80,24.1837,10.2128,4.462,2.9988,358.2995,2.968e+10,7.81,78.93,6769151,103.0934707,2259.425353
"86",20.072,76.94296,658917,7.3050801,9.8530791,16.6,3.512,75.699997,"2",44.8797,2731.4661,1.76,75.72,60.19,"0","0",60,99421,17.6,251.1429737,35.7,29.8882,9.9678,4.6527,1.9262,42.327137,2.32e+09,76.76,54.331,2159067,54.66042155,2108.52459
"87",16.213,97.57058,760436,7.7892159,7.6008282,9.9,5.121,83.059998,"1",35.26546,818.4211,1.75,54.42,46.3,"1","0",59.29,62373,20.778,127.7707491,45.4,36.2595,11.3472,4.8983,2.0637,25.088203,2.1117e+11,78.9,64.104,5180208,74.92782589,3174.46147
